A	Ammonia	3	1	0	3	0	0	-10	-2	0	0	6	0	8	3
B	Hell	1	0	1	3	1	0	-10	10	5	0	10	8	2	2
C	Sheltered	1	0	1	1	2	0	8	5	3	0	8	8	4	8
D	Desert	2	0	1	2	3	0	2	4	4	1	10	9	1	2
E	Water Vapor	4	1	0	3	0	0	-10	-2	0	0	1	0	7	1
F	Terrestrial	2	0	1	1	2	0	10	4	3	0	9	7	5	8
G	Ocean	2	0	1	1	4	0	15	0	0	0	1	3	12	7
H	Cold Desert	3	0	1	2	3	0	-8	5	4	2	10	9	1	2
I	Cloudless	4	1	0	4	0	0	-10	-5	0	0	1	0	5	0
J	Glacial	3	0	1	2	3	0	3	2	2	0	5	3	3	3
K	Slush	3	0	1	2	6	0	2	2	2	0	2	3	3	9
L	Coreless	3	0	1	2	3	0	-5	5	7	10	6	8	1	5
M	Greenhouse	3	0	1	1	2	0	9	3	2	0	10	8	4	7
N	Carbide 	4	0	1	2	3	0	-5	2	7	4	8	2	1	10
O	Alkali 	4	1	0	4	0	0	-10	-5	0	0	1	0	4	0
P	Volcanic	4	0	1	2	5	0	-5	7	6	5	2	9	1	3
Q	Metal	4	0	1	2	3	0	-5	6	5	4	9	8	1	3
R	Silicate	4	0	1	2	3	0	-5	3	2	1	9	10	1	4
S	Dust	4	2	1	5	0	0	-10	1	2	3	1	0	4	0
T	Asteroid	4	3	1	2	0	0	-8	8	8	8	2	4	1	2
U	Silicate	4	1	0	5	0	0	-10	-5	0	0	1	0	3	0
V	Gaseous	4	2	0	5	0	0	-10	-2	0	0	1	0	15	0
W	empty	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X	empty	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y	Ice	3	1	0	3	0	0	-10	-2	0	0	7	0	10	3
Z	Antimatter	5	2	0	5	0	10	-10	-5	0	0	1	0	2	0
