Aether	Aetheri
Andromeda	Andromedae
Antilia	Antiliae
Apus	Apodis
Aquarius	Aquaria
Aquila	Aquilae
Arcturus	Arcturi
Aries 	Arietis
Auriga 	Aurigae
Auster 	Australis
Boreas 	Borealis
Caelum 	Caeli
Cancer 	Cancri
Canis 	Canidus
Canopus 	Canopi
Capricorn 	Capricornus
Carina 	Carinae
Cassiopeia 	Cassiopeiae
Centaurus 	Centauri
Cepheus 	Cephei
Cerberus 	Cerberi
Cetus 	Ceti
Chamaeleon 	Chamaeleontis
Chimera 	Chimerae
Circinus 	Circini
Columba 	Columbae
Corvus 	Corvi
Crater 	Crateris
Crux 	Crucis
Cygnus 	Cygni
Delphi 	Delphini
Dorado 	Doradus
Draco 	Draconis
Echidna 	Echidnae
Elysium 	Elysii
Empusa 	Empusae
Equuleus 	Equulei
Erebus 	Erebi
Eridanus 	Eridani
Erinyes 	Erinys
Eurus 	Euri
Favonius 	Favoni
Felis 	Felidus
Fornax 	Fornacis
Gemini 	Geminorum
Grus 	Gruis
Hebrides 	Hebude
Hercules 	Herculis
Horologium 	Horologii
Hyas 	Hyade
Hydra 	Hydrae
Indus 	Indi
Lacerta 	Lacertae
Leo 	Leonis
Lepus 	Leporis
Libra 	Librae
Lupus 	Lupi
Lyra 	Lyrae
Mantodea 	Mantidae
Mensa 	Mensae
Mobius 	Mobia
Monoceros 	Monocerotis
Musca 	Muscae
Norma 	Normae
Notus 	Noti
Nyxis 	Nyxidis
Octans 	Octantis
Ophiuchus 	Ophiuchi
Orion 	Orionis
Orpheus 	Orphei
Orthrus 	Orthri
Pavo 	Pavonis
Pegasus 	Pegasi
Perseus 	Persei
Phoenix 	Phoenicus
Pictor 	Pictoris
Pisces 	Piscium
Plieone 	Pleiade
Puppis 	Puppis
Pyxis 	Pyxidis
Reticulum 	Reticuli
Sagittarius 	Sagittari
Scorpius 	Scorpii
Scutum 	Scuti
Scylla 	Scyllae
Serpens 	Serpentis
Sextans 	Sextantis
Talos 	Talosi
Taurus 	Tauri
Triangulum 	Trianguli
Tucana 	Tucanae
Typhon 	Typhoni
Urania 	Uraniae
Ursa 	Ursae
Vela 	Velorum
Virgo 	Virginis
Volans 	Volantis
Vulpecula 	Vulpeculae
Vulturnus 	Vulturi
Zephyrus 	Zephyri
